Date,RepPosPer,RepNegPer,DemPosPer,DemNegPer,TrumpRating,BidenRating
8/09/2020,0.36289812,0.465760003,0.096160143,0.075181733,0.428,0.499
9/09/2020,0.458741799,0.412901803,0.079406738,0.048949661,0.429,0.504
10/09/2020,0.343029773,0.519617075,0.070643888,0.066709264,0.43,0.505
11/09/2020,0.447220122,0.411392115,0.071381119,0.070006643,0.426,0.506
12/09/2020,0.473017981,0.391638198,0.077642246,0.057701575,0.427,0.505
13/09/2020,0.40825559,0.418602134,0.103248988,0.069893288,0.429,0.503
14/09/2020,0.392445403,0.383470803,0.099915643,0.124168151,0.429,0.5
15/09/2020,0.418580855,0.390529621,0.095915223,0.094974301,0.429,0.497
16/09/2020,0.434047965,0.35021121,0.134958666,0.080782158,0.431,0.49
17/09/2020,0.367448497,0.405352903,0.141676859,0.08552174,0.432,0.49
18/09/2020,0.386281797,0.361894649,0.142998938,0.108824616,0.431,0.493
19/09/2020,0.445966206,0.338529866,0.144928026,0.070575902,0.43,0.495
20/09/2020,0.455060833,0.343217423,0.139186021,0.062535724,0.429,0.494
21/09/2020,0.4503932,0.363140156,0.118527513,0.067939131,0.43,0.495
22/09/2020,0.465677421,0.361062908,0.101309157,0.071950514,0.431,0.497
23/09/2020,0.406550256,0.341838789,0.144827685,0.106783269,0.429,0.5
24/09/2020,0.426060035,0.336033965,0.11988087,0.118025129,0.429,0.498
25/09/2020,0.447141526,0.369352515,0.103400234,0.080105725,0.429,0.496
26/09/2020,0.44105188,0.330086695,0.116894159,0.111967265,0.43,0.499
27/09/2020,0.456418539,0.287378261,0.156217883,0.099985318,0.428,0.498
28/09/2020,0.397289678,0.482930111,0.068952225,0.050827986,0.429,0.497
29/09/2020,0.394234584,0.407004332,0.10843354,0.090327544,0.433,0.494
30/09/2020,0.300772376,0.360002446,0.176615524,0.162609653,0.431,0.497
1/10/2020,0.323668875,0.351105802,0.168156755,0.157068568,0.429,0.501
5/10/2020,0.451866562,0.416881023,0.066599139,0.064653277,0.422,0.507
6/10/2020,0.39870635,0.405673459,0.122533187,0.073087004,0.422,0.512
7/10/2020,0.409311932,0.397942336,0.108826976,0.083918755,0.419,0.516
8/10/2020,0.415200512,0.424850789,0.109417305,0.050531395,0.42,0.518
9/10/2020,0.367750071,0.482727134,0.095484488,0.054038307,0.42,0.517
10/10/2020,0.370805199,0.424104388,0.135297586,0.069792828,0.418,0.518
11/10/2020,0.359273211,0.37507317,0.169093072,0.096560547,0.418,0.521
12/10/2020,0.35489923,0.396844041,0.15154237,0.096714359,0.416,0.518
13/10/2020,0.404586215,0.385278881,0.144428958,0.065705946,0.416,0.516
14/10/2020,0.397644284,0.342273638,0.14594778,0.114134298,0.423,0.515
15/10/2020,0.332093909,0.304917904,0.179546893,0.183441294,0.423,0.517
16/10/2020,0.286441403,0.342918245,0.232035928,0.138604424,0.423,0.512
17/10/2020,0.303979844,0.341867689,0.196411213,0.157741254,0.423,0.513
18/10/2020,0.321784771,0.353466949,0.200989027,0.123759254,0.424,0.513
19/10/2020,0.324239233,0.32105912,0.192822787,0.161878859,0.424,0.513
20/10/2020,0.348664865,0.326167568,0.200232432,0.124935135,0.425,0.511
21/10/2020,0.33240271,0.347497463,0.163129748,0.156970079,0.431,0.506
22/10/2020,0.346118188,0.33707379,0.194231364,0.122576658,0.428,0.507
23/10/2020,0.317643927,0.340994706,0.176027404,0.165333963,0.428,0.508
24/10/2020,0.366132075,0.355773585,0.158578616,0.119515723,0.427,0.508
25/10/2020,0.354999652,0.35047035,0.167082433,0.127447565,0.428,0.508
26/10/2020,0.379178828,0.367689203,0.135221608,0.117910361,0.43,0.508
27/10/2020,0.414059908,0.327259829,0.156844432,0.101835832,0.433,0.507
28/10/2020,0.374013237,0.330928726,0.160050454,0.135007582,0.436,0.511
29/10/2020,0.405172203,0.335056586,0.142345579,0.117425631,0.437,0.511
30/10/2020,0.359979839,0.32641129,0.143649194,0.169959677,0.435,0.514
31/10/2020,0.403423929,0.327137318,0.168189292,0.101249461,0.435,0.513
1/11/2020,0.411418864,0.332094463,0.153291316,0.103195357,0.439,0.511
2/11/2020,0.37123834,0.362734815,0.155705383,0.110321462,0.442,0.511
3/11/2020,0.420087031,0.301759201,0.185700072,0.092453697,0.44,0.512
